Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,117.11547389659631,135.33701159616493,5.035160996046812,-0.3442608870882861,0.007000000000000006,0.0076,0.006399999999999961,817.7777777777777,0.00013197100163316101,0.00013197100163316101,0.00013197100163316101,0_1:0.011806138872448912,0_1:327.1111111111111
1,120.7430668359547,120.4803015292256,5.155012520455854,-0.3420755285088729,0.013800000000000034,0.013,0.014599999999999946,817.7777777777777,0.00021882551897971567,0.00021882551897971567,0.00021882551897971567,1_0:0.011806138872448912; 1_4:0.006694838695196964; 1_2:0.00448258949551783,1_0:359.1111111111111; 1_4:181.33333333333331; 1_2:270.22222222222223
2,111.40838884984734,149.92028637663017,5.256353689381994,-0.3396746340929643,0.009500000000000064,0.011800000000000033,0.0072,817.7777777777777,0.00016406033444206085,0.00016406033444206085,0.00016406033444206085,2_3:0.013441122350999063; 2_1:0.00448258949551783,2_3:352; 2_1:206.2222222222222
3,215.24708509496685,30.309463152044106,5.09743002785236,-0.3426974517619815,0.011399999999999966,0.0136,0.009199999999999986,817.7777777777777,0.0012795396944500635,0.0012795396944500635,0.0012795396944500635,3_5:0.009570817902040368; 3_2:0.013441122350999063,3_5:252.44444444444443; 3_2:416
4,116.75647352297534,17.550504885086532,5.072828869761296,-0.3428593329111622,0.008900000000000019,0.011800000000000033,0.006,817.7777777777777,0.00032112578812680125,0.00032112578812680125,0.00032112578812680125,4_7:0.01204293168715126; 4_1:0.006694838695196964,4_7:263.1111111111111; 4_1:245.33333333333331
5,124.8871772858046,104.84160630595947,5.206957276112145,-0.34103575141973025,0.006399999999999961,0.008199999999999985,0.0046,817.7777777777777,0.0001667693343476602,0.0001667693343476602,0.0001667693343476602,5_3:0.009570817902040368; 5_8:1,5_3:188.44444444444443; 5_8:593.7777777777777
6,102.16555458204616,222.53088370899886,5.020507862614139,-0.344459714463088,0.022599999999999953,0.01980000000000004,0.0254,817.7777777777777,0.0001533605721413394,0.0001533605721413394,0.0001533605721413394,6_7:0.004546860280821796,6_7:284.44444444444446
7,105.05738138147936,207.63294206116367,4.919039401176453,-0.34681187889228726,0.010699999999999932,0.012199999999999989,0.0092,817.7777777777777,0.0001367038952088664,0.0001367038952088664,0.0001367038952088664,7_6:0.004546860280821796; 7_4:0.01204293168715126; 7_10:0.013985609653430098,7_6:316.4444444444444; 7_4:327.1111111111111; 7_10:202.66666666666666
8,209.77747695843078,292.9430933323138,5.031262662797263,-0.344655741983344,0.012399999999999967,0.0112,0.013599999999999945,817.7777777777777,0.0001490445891797088,0.0001490445891797088,0.0001490445891797088,8_9:0.008413856698569089; 8_11:0.00408151197502718; 8_5:1,8_9:572.4444444444445; 8_11:344.88888888888886; 8_5:561.7777777777777
9,65.04716544125401,161.56420652267477,4.874790554051962,-0.34512580457831693,0.007200000000000095,0.009800000000000031,0.0046,817.7777777777777,0.0002234872354649967,0.0002234872354649967,0.0002234872354649967,9_8:0.008413856698569089,9_8:540.4444444444445
10,82.76445447076343,33.07328587225777,4.821169125425606,-0.34904028505215795,0.021600000000000064,0.023399999999999976,0.0198,817.7777777777777,0.000763128705760434,0.000763128705760434,0.000763128705760434,10_12:0.009888528010712105; 10_7:0.013985609653430098,10_12:298.66666666666663; 10_7:266.66666666666663
11,122.21180096462383,315.0446990995067,5.1620991261437394,-0.34139674860394525,0.07729999999999992,0.081,0.0736,817.7777777777777,0.00015495369259354438,0.00015495369259354438,0.00015495369259354438,11_14:0.007850759336693519; 11_8:0.00408151197502718,11_14:728.8888888888888; 11_8:280.88888888888886
12,264.6639238024454,192.26513563253877,4.718532125687443,-0.3491294979563877,0.015700000000000047,0.013800000000000034,0.0176,817.7777777777777,0.00020285704759461694,0.00020285704759461694,0.00020285704759461694,12_13:0.0050502215021477614; 12_10:0.009888528010712105; 12_15:0.010790237315263296,12_13:437.3333333333333; 12_10:330.66666666666663; 12_15:408.88888888888886
13,294.66371152874245,208.035836014858,4.9630297547943725,-0.34380579275621304,0.05449999999999999,0.054,0.05500000000000005,817.7777777777777,0.0002869129968221667,0.0002869129968221667,0.0002869129968221667,13_12:0.0050502215021477614; 13_14:0.005393614797646967,13_12:405.3333333333333; 13_14:366.22222222222223
14,134.2797466402886,24.427586864168653,5.0466061487943,-0.3441152248069847,0.005400000000000071,0.005800000000000027,0.005,817.7777777777777,0.0001995829770538436,0.0001995829770538436,0.0001995829770538436,14_13:0.005393614797646967; 14_11:0.007850759336693519; 14_16:0.01527160149982762,14_13:334.22222222222223; 14_11:696.8888888888888; 14_16:440.88888888888886
15,123.06518658491542,35.68501972024953,4.9237058623245264,-0.3183599100684413,0.02750000000000008,0.02080000000000004,0.0342,817.7777777777777,0.0004239881124169998,0.0004239881124169998,0.0004239881124169998,15_12:0.010790237315263296; 15_18:0.015157654398992804,15_12:376.88888888888886; 15_18:636.4444444444445
16,99.99580772640114,115.12550192777888,4.883325957264916,-0.3459132501021413,0.009000000000000008,0.0102,0.007800000000000029,817.7777777777777,0.00020979424328955245,0.00020979424328955245,0.00020979424328955245,16_19:0.012669827233050435; 16_14:0.01527160149982762,16_19:359.1111111111111; 16_14:472.88888888888886
17,154.71104128091403,62.53853307891659,5.2224524960446495,-0.33930844300247065,0.017299999999999982,0.01959999999999995,0.015,817.7777777777777,0.00022289453119461966,0.00022289453119461966,0.00022289453119461966,17_18:0.005430813117767774,17_18:462.2222222222222
18,217.8645218863124,163.96556803877758,4.967714367807589,-0.34576142521544906,0.017299999999999982,0.020000000000000018,0.0146,817.7777777777777,0.0005459854837749989,0.0005459854837749989,0.0005459854837749989,18_17:0.005430813117767774; 18_15:0.015157654398992804; 18_21:0.006446610548756754,18_17:494.2222222222222; 18_15:604.4444444444445; 18_21:241.77777777777777
19,268.7350907801919,130.0490170491725,5.002447780431592,-0.3450520255249151,0.005800000000000027,0.006800000000000028,0.0048,817.7777777777777,0.0002529079749647883,0.0002529079749647883,0.0002529079749647883,19_16:0.012669827233050435; 19_22:0.009947620698264964; 19_20:1,19_16:327.1111111111111; 19_22:248.88888888888889; 19_20:380.4444444444444
20,106.67637133901603,52.90877006524317,5.095791843557228,-0.3410175284732265,0.006899999999999906,0.0084,0.00539999999999996,817.7777777777777,0.0004306742863960984,0.0004306742863960984,0.0004306742863960984,20_19:1,20_19:348.4444444444444
21,128.44422074212434,32.76073611009077,4.839279881366319,-0.3475556814081998,0.01429999999999998,0.02059999999999995,0.008,817.7777777777777,0.000401236322077248,0.000401236322077248,0.000401236322077248,21_23:0.020465469353786375; 21_18:0.006446610548756754,21_23:576; 21_18:305.77777777777777
22,133.19339899493554,74.7698190634547,4.919528901089497,-0.3465227286960821,0.012699999999999934,0.014599999999999946,0.0108,817.7777777777777,0.0001764838022918813,0.0001764838022918813,0.0001764838022918813,22_19:0.009947620698264964; 22_25:0.008177295372745252,22_19:280.88888888888886; 22_25:344.88888888888886
23,217.2214282261511,234.81107391154563,4.9203139187698,-0.3443362354124738,0.011500000000000066,0.010199999999999987,0.0128,817.7777777777777,0.00018261804835093497,0.00018261804835093497,0.00018261804835093497,23_21:0.020465469353786375; 23_24:0.012390571122996713,23_21:608; 23_24:352
24,171.98169993300309,36.245890643888174,4.9916562731615395,-0.34429521005259517,0.014399999999999968,0.01539999999999997,0.0134,817.7777777777777,0.00027879312366257546,0.00027879312366257546,0.00027879312366257546,24_23:0.012390571122996713; 24_25:0.010983291091401337,24_23:320; 24_25:576
25,178.71756490368836,106.932406022995,4.812901933974263,-0.34698401102242854,0.009299999999999975,0.0104,0.008199999999999985,817.7777777777777,0.0002087016521409371,0.0002087016521409371,0.0002087016521409371,25_22:0.008177295372745252; 25_24:0.010983291091401337; 25_26:0.00542467544644995,25_22:312.88888888888886; 25_24:608; 25_26:259.55555555555554
26,49.55941954343456,24.243897622004447,5.019590338598943,-0.34327757947603954,0.007299999999999973,0.009199999999999986,0.0054,817.7777777777777,0.00020623067126752595,0.00020623067126752595,0.00020623067126752595,26_25:0.00542467544644995,26_25:195.55555555555554
